"id","PY","TI","AB","AU","CT","url","KW"
"00a5718a5fc64467a388ba5e7bd9bff2",2014,"Using Open Source Tools to Create a Mobile Optimized,Crowdsourced Translation Tool","In late 2012, OSU Libraries and Press partnered with Maria's Libraries, an NGO in Rural Kenya, to provide users the ability to crowdsource translations of folk tales and existing children's books into a variety of African languages, sub-languages, and dialects. Together, these two organizations have been creating a mobile optimized platform using open source libraries such as Wink Toolkit (a library which provides mobile-friendly interaction from a website) and Globalize3 to allow for multiple translations of database entries in a Ruby on Rails application. Research regarding successes of similar tools has been utilized in providing a consistent user interface. The OSU Libraries & Press team delivered a proof-of-concept tool that has the opportunity to promote technology exploration, improve early childhood literacy, change the way we approach foreign language learning, and to provide opportunities for cost-effective, multi-language publishing.","Weinraub Lajoie,Evviva;Terrell,Trey;McEvoy,Susan;Kaplan,Eva;Schwartz,Ariel;Ajambo,Esther","Code4Lib","http://journal.code4lib.org/articles/9496","kenya;Ryby;OSU;children literacy;proof-of-concept"
"0100dc2bcbc941f4aed31754b6f34003",2014,"The Road to Responsive: University of Toronto Libraries’ Journey to a New Library Catalogue Interface","With the recent surge in the mobile device market and an ever expanding patron base with increasingly divergent levels of technical ability, the University of Toronto Libraries embarked on the development of a new catalogue discovery layer to fit the needs of its diverse users. The result: a mobile-friendly, flexible and intuitive web application that brings the full power of a faceted library catalogue to users without compromising quality or performance, employing Responsive Web Design principles.","Gayhart,Lisa;Khalid,Bilal;Belray,Gordon","Code4Lib","http://journal.code4lib.org/articles/9195","faceted library catalogue;mobile devices;Toronto;responsive web design"
"029bc3f2e8684a1faf6be0c6e22d1850",2022,"Automated 3D Printing in Libraries","This article highlights the creation of an automated 3D printed system created at a health sciences library at a large research university. As COVID-19 limited in-person interaction with 3D printers, a group of library staff came together to code a form that took users’ 3D printed files and connected them to machines automatically. A ticketing system and payment form was also automated via this system. The only in-person interactions are dedicated staff members that unload the prints. This article will describe the journey in getting to an automated system and share code and strategies so others can try it for themselves.","Patterson,Brandon;Engel,Ben;Holle,Willis","Code4Lib","https://journal.code4lib.org/articles/16310","3D;COVID-19;prints"
"02fb0892eb0b434080bef8b520d4bc3a",2013,"Editorial Introduction: It is Volunteers All the Way Down...","The Code4Lib community is wonderful and a wonder, as numerous conference keynote speakers and journal editors have noted.It started first as a mailing list then quickly branched out to an IRC channel, a website and wiki, an annual meeting with regional and international flair, this Journal, and countless other opportunities to network, share ideas, and build on the work of each other.As an active participant in the community, what I find even more fascinating is the sense of dedication that other like-minded people have for the community.I can imagine that this is due in some part because their employer has an enlightened sense of the importance of community participation to give staff release time to engage in Code4Lib activities.In other cases, the participants themselves cherish something of value and squirrel away unofficial time (perhaps evening hours, perhaps daytime activity under the broad heading of “professional development”) to use in community activities.Some have donated server space, others funds towards a domain registration.A few years back we had a professional graphics designer volunteer time to create the Code4Lib logo and style guide.","Murray,Peter","Code4Lib","http://journal.code4lib.org/articles/8441","Code4Lib;Peter Murray;editorial"
"0361e7c944b243e89abf60dd31a01c57",2023,"Apples to Oranges: Using Python and the pymarc library to match bookstore ISBNs to locally held eBook ISBNs","To alleviate financial burdens faced by students and to provide additional avenues for the benefits shown to be present when no-cost materials are available to students (equity and access and an increase in student success metrics), more and more libraries are leveraging their collections and acquisition processes to provide no-cost eBook alternatives to students. It is common practice now for academic libraries to have a partnership with their campus bookstore and to receive a list of print and eBook materials required for an upcoming semester. Libraries take these lists and use various processes and workflows, some extremely labor intensive and others semi-labor intensive, to identify which of these titles they already own as unlimited access eBooks, and which titles could be purchased as unlimited access eBooks. The most common way to match bookstore titles to already licensed eBooks is by searching the bookstore provided ISBN or title in either the Library Management System (LMS), the Analytics and Reporting layer of the LMS, the Library Discovery Layer, or via another homegrown process.While some searching could potentially be automated, depending on the available functionality of the LMS or the Analytics component of the LMS, the difficulty lies in matching the bookstore ISBN, often the print ISBN, to the library eBook ISBN. This article will discuss the use of Python, the Pymarc library in Python, and Library eBook MARC records to create an automated identification process to accurately match bookstore lists to library eBook holdings.","Scott,Mitchell","Code4Lib","https://journal.code4lib.org/articles/17126","LMS;eBooks;LMS;Python;MARC;Pymarc"
"03984f4359064dda908311e2f9bed30a",2014,"Editorial Introduction: Conscious Resolutions","Hack your life with 10 New Year's resolutions from Code4Lib Journal.","Averkamp,Shawn","Code4Lib","http://journal.code4lib.org/articles/9389","editorial;10 years;Code4Lib"
"03fc7f10756f47c584b6747317b9c19d",2021,"Choose Your Own Educational Resource: Developing an Interactive OER Using the Ink Scripting Language","Learning games are games created with the purpose of educating, as well as entertaining, players. This article describes the potential of interactive fiction (IF), a type of text-based game, to serve as learning games. After summarizing the basic concepts of interactive fiction and learning games, the article describes common interactive fiction programming languages and tools, including Ink, a simple markup language that can be used to create choice based text games that play in a web browser. The final section of the article includes code putting the concepts of Ink, interactive fiction, and learning games into action using part of an interactive OER created by the author in December of 2020.","Baker,Stewart","Code4Lib","https://journal.code4lib.org/articles/15721","games;interactive fiction;OER"
"046cf75c118d46f5ab991b15fbd8cab1",2021,"Building and Maintaining Metadata Aggregation Workflows Using Apache Airflow","PA Digital is a Pennsylvania network that serves as the state’s service hub for the Digital Public Library of America (DPLA). The group developed a homegrown aggregation system in 2014, used to harvest digital collection records from contributing institutions, validate and transform their metadata, and deliver aggregated records to the DPLA. Since our initial launch, PA Digital has expanded significantly, harvesting from an increasing number of contributors with a variety of repository systems. With each new system, our highly customized aggregator software became more complex and difficult to maintain. By 2018, PA Digital staff had determined that a new solution was needed. From 2019 to 2021, a cross-functional team implemented a more flexible and scalable approach to metadata aggregation for PA Digital, using Apache Airflow for workflow management and Solr/Blacklight for internal metadata review. In this article, we will outline how we use this group of applications and the new workflows adopted, which afford our metadata specialists more autonomy to contribute directly to the ongoing development of the aggregator. We will discuss how this work fits into our broader sustainability planning as a network and how the team leveraged shared expertise to build a more stable approach to maintenance.","Finnigan,Leanne;Toner,Emily","Code4Lib","https://journal.code4lib.org/articles/16171","DPLA;aggregation systemApache Airflow;Solr;Blacklight;metadata review; metadata"
"04ddf651e59f46638c481164a7898cec",2018,"Using R and the Tidyverse to Generate Library Usage Reports","Gathering, analyzing, and communicating library usage data provides a foundation for thoughtful assessment. However, the amount of time and expertise required creates a barrier to actually using this data. By using the statistical programming language R and the tools and approach of the Tidyverse, the process of gathering, analyzing, and communicating data can be automated in ways that reduce the amount of time and energy required. At the same time, this approach increases staff capacity for other data science projects and creates a shareable model and framework for other libraries. This article focuses on electronic resource usage reports - especially Counter DB1 Reports - but this approach could be extended to other data sources and needs.","Meyer,Andy","Code4Lib","http://journal.code4lib.org/articles/13282","statistics;R;Tydyverse;data;usage reports;Counter DB1"
"05475b9b5f364b298554debe338190a1",2010,"Easing Gently into OpenSRF, Part 2","The Open Service Request Framework (or OpenSRF, pronounced ""open surf"") is an inter-application message passing architecture built on XMPP (aka ""jabber""). The Evergreen open source library system is built on an OpenSRF architecture to support loosely coupled individual components communicating over an OpenSRF messaging bus. This article introduces OpenSRF, demonstrates how to build OpenSRF services through simple code examples, explains the technical foundations on which OpenSRF is built, and evaluates OpenSRF's value in the context of Evergreen. Part 2 of a 2 part article in this issue.","Scott,Dan","Code4Lib","http://journal.code4lib.org/articles/3365","OpenSRF;XMPP;jabber;Evergreen"
