type,year,title,author,partof,resources,File,tags,abstract,alias
,2013,AgriVIVO: A Global Ontology-Driven RDF Store Based on a Distributed Architecture,"Valeria Pesce,Johannes Keizer,John Fereira",,,SWIB/SWIB2013/AgriVIVO - A Global Ontology-Driven RDF Store Based on a Distributed Architecture.md,"#agrivoc,#AgriVIVO,#VIVO,#FOAF,#BIBO,#ORCID,#ontology,#rdf,#swib/2013","The proposed talk will describe the rationale behind and the technical implementation of the AgriVIVO store and portal (www.agrivivo.net). AgriVIVO is an RDF-based and ontology-driven global search portal harvesting from distributed directories of experts, organizations and events in the field of agriculture. It is based on the VIVO open source semantic web application initially developed at Cornell University and now adopted by several institutional and cross-institutional research discovery projects in the US and beyond. AgriVIVO builds on the VIVO ontological model - which includes standard ontologies like the geopolitical ontology for locations, the FOAF vocabulary for people and the BIBO ontology for publications, besides the specialized VIVO core ontology - and extends it to better suit the agricultural domain. One of the objectives for this global directory is to provide authoritative data on people and organizations in the agricultural fields: the next steps will focus on disambiguation techniques and the adoption of universal identifiers, especially ORCID, to univocally identify experts and link them to publications, thus laying the ground for authority data on authors. More in details, the talk will cover: the reasons for choosing VIVO over other solutions; the methodology used to extend the VIVO ontology; the workflows and technical solutions adopted for harvesting from different databases; the work done for harmonizing data coming from systems using different semantic organizations; the architecture of the system; URIs, RDF profiles and Linked Data.",SWIB
,2013,Analysis of Library Metadata with Metafacture,Christoph Böhme,,https://swib.org/swib13/slides/boehme_swib13_131.pdf,SWIB/SWIB2013/Analysis of Library Metadata with Metafacture.md,"#manufacture,#java,#culturegraph,#project,#metadata/transformation,#indexing,#swib/2013","[Metafacture](http://culturegraph.github.io/) is a versatile Java-based open source toolkit for all metadata related tasks. It was developed in the [Culturegraph](http://culturegraph.org/) project. Since then it has become an important part of the software infrastructure at the German National Library. Core applications of Metafacture are metadata transformation, search indexing and statistical analyses of metadata. Despite originating from the library domain, Metafacture is format-agnostic and has successfully been employed in metadata related tasks in other domains.   In this workshop participants will learn how to use Metafacture in order to analyse large datasets. After a short introduction to Metafacture three types of analyses, which are often encountered in day-to-day work at a library, will be presented: counting distinct data values, quantifying relationships between metadata records and joining metadata records. Participants will have the opportunity to perform these analyses themselves and to discuss their approaches. Prior Experience: No programming experience is required. Participants should have a basic understanding of XML. A library background is not necessary as the analyses presented in the workshop are applicable to other areas as well.",SWIB
,2013,Application of LOD to Enrich the Collection of Digitized Medieval Manuscripts at the University of Valencia,"Jose Manuel Barrueco Cruz,Cristina García Testal",,,SWIB/SWIB2013/Application of LOD to Enrich the Collection of Digitized Medieval Manuscripts at the University of Valencia.md,"#valencia,#spain,#lod,#manuscripts,#digitization,#swib/2013","In this presentation we describe a use case of consumption and integration of LOD into a productive library application at the University of Valencia (Spain). The library has an important collection of medieval manuscripts and early printed books that is being digitized at the moment. All digital materials are made available open access as part of the institutional repository. A book reader allows the users to navigate following the physical or logical structure of the work, to access its illustrations or to connect with related documents. In order to go a step forward, the aim of the project being described here was to enrich the experience of the reader by providing additional information extracted from LOD data sets. The idea was that the user could get biographical information about the authors, illustrators, copyist… when accessing the digital version of the books. For that purpose an application was developed to link the book viewer with the LOD sources containing related information. The presentation has two parts. Firstly, we do an analysis of the available LOD sets, the criteria used to select the data sources for the project, the problems faced by the consumer when discovering or searching for LOD sets, and finally the sources selected. In the second part, we describe the algorithm of the application that integrates data extracted from different sources into the book reader. As a test the application was applied to a collection of 92 manuscripts. We make an analysis of the available information and the degree of coverage of the data sources in relation to the number of authors available in the repository.",SWIB
,2013,Automatic Creation of Mappings between Classification Systems for Bibliographic Data,Magnus Pfeffer,,,SWIB/SWIB2013/Automatic Creation of Mappings between Classification Systems for Bibliographic Data.md,"#classification,#classification/systems,#CultureGraph,#mappings,#linked/data,#co-occurrence,#clustering,#swib/2013","Classification systems are an important means to provide topic-based access to large collections. Most library collections, however, are often only partially classified and use local or regional classification systems. Traditionally, manually created mappings between classification systems are used to improve this situation. I propose a different approach to automatically create such mappings: To achieve a large base for the mapping algorithm, bibliographic data from diverse sources that contain items classified by the classification systems is aggregated in a single database. Next, a clustering algorithm is used in order to group individual issues and editions of the same work. The basic idea is that for classification purposes, there is no significant difference across editions. Indexing information can thus be consolidated within the clusters, resulting in a higher proportion of dual-indexed entries. The novel step is that instead of individual catalogue entries, the "work-level" clusters are used for an instance-based matching: Statistical analysis creates a co-occurrence table of pairs of classes and high co-occurance of a given pair indicating a match between the two classification systems. This information is aggregated into a complete mapping The approach is implemented on an open-source infrastructure which was mainly developed by the German National Library: CultureGraph.org. In ongoing projects, mappings between several classification systems are being produced. The talk will discuss the approach, the implementation issues and the preliminary results as well as the challenges of publishing the created mappings as linked data.",SWIB
,2013,BIBFRAME: Libraries Can Lead Linked Data,"Lars G. Svensson,Julia Hauser,Reinhold Heuvelmann",,,SWIB/SWIB2013/BIBFRAME - Libraries Can Lead Linked Data.md,"#bibframe,#alamw13,#semantic/web,#linked/data,#edm,#schema-org,#swib/2013",""There won't be any Semantic Web that any mortal can understand until librarians help build it! \#bibframe \#alamw13 \#semanticweb \#linkeddata" (Uche Ogbuji of zepheira.com via twitter, 2013-01-27). As a result of the increasing level of digital interconnection in the information world, the established formats used by libraries for exchanging data are no longer deemed fit for purpose. Therefore the Library of Congress launched the "Bibliographic Framework Transition Initiative" (BIBFRAME) in 2011, aimed at developing the existing formats into a durable format. The purpose is to assess the viability of the formats, bearing in mind the opportunities presented by semantic web technologies. As a member of the "Early Experimenters Group", the German National Library is actively supporting the initiative as part of its efforts to internationalize the German standards. In the first phase of the BIBFRAME project the main objective of the German National Library is to contribute to the BIBFRAME point papers and to glean experience from prototypical conversion of the German National Library data into the BIBFRAME format. A high potential lies in developing the interoperability with communities from outside the library community and also commercial providers, so that applications can re-use and benefit from the valuable data. Therefore, among other points, the compatibility of the BIBFRAME-model with the Europeana Data Model (EDM) and schema.org is examined. The presentation will give an overview of the BIBFRAME initiative, and provide some insights of the steps taken at the German National Library and in the context of the wider community.",SWIB
,2013,Building a National Ontology Infrastructure,"Matias Frosterus|Matias Mikael Frosterus,Mirja Anttila,Mikko Lappalainen,Susanna Nykyri,Tuomas Palonen,Sini Pessala",,,SWIB/SWIB2013/Building a National Ontology Infrastructure.md,"#finland,#ONKI,#ontology,#koko,#yso,#ALLSO,#swib/2013","The National Library of Finland, in collaboration with the Ministry of Finance and the Ministry of Education and Culture, has launched a project called ONKI which aims to build a national-level ontology service. ONKI provides a stable, centralized ontology service that allows for the publication of ontologies, searching for them, and provides common ways of utilizing them through various interfaces. The immediate aim is to enable the use of ontologies in the information retrieval systems in, e.g., libraries, museums, archives, governmental bureaus and other public organizations. Through the use of common definitions and URIs for the concepts, the integration between various content becomes simpler. All the code we produce is open source. The other focus of the ONKI project is building and refining the Finnish General Upper Ontology YSO and its Swedish counterpart ALLSO, which have been in use since the early 2000s. Now we wish to evaluate the current state of YSO and whether its hierarchy serves its envisioned usage. To this end we will compare it to similar work done in other countries and also conduct interviews with various user groups. The final vision is to make YSO a national general upper ontology providing the upper level hierarchy as well as concepts that are common to all domains. This is then complemented by various more specific domain ontologies. We have implemented this structure in the form of KOKO, a combination of YSO and fifteen different domain ontologies ranging from agriculture to health to seafaring. This KOKO is already in use in, e.g., various museums as well as in pilot use in the national broadcasting company YLE.",SWIB
,2013,"Catmandu - Library Oriented Extract, Transform, Load tools to publish Linked Open Data","Nicolas Steenlant,Patrick Hochstenbach,Najko Jahn",,https://swib.org/swib13/slides/jahn_swib13_128.pdf,"SWIB/SWIB2013/Catmandu - Library Oriented Extract, Transform, Load tools to publish Linked Open Data.md","#etl,#catmandu,#marc,#JSON,#ElasticSearch,#swib/2013","Creating any data oriented application the main task is to import data from various sources, map the fields to a common data model and put it all into a database or search engine. In data-warehousing, these processes are called ETL — Extract, Transform, Load. Catmandu provides a suite of Perl modules to ease the import, storage, retrieval, export and transformation of metadata records.  
After a short introduction in the rationales of Catmandu and presentation of sample applications at the Universities of Lund, Ghent and Bielefeld, participants will be guided to transform MARC records to Linked Data.  
The steps include transforming MARC into a JSON model of choice, storing/indexing the model in ElasticSearch, and exporting/mapping the model as Linked Data.  
_Prior experience:_ We will be using a simplified ETL language. Any programming experience is welcome but not required. A brief tutorial on Catmandu programming can be found [here](http://librecat.org/tutorial/).  
_Requirements:_ Laptop with [VirtualBox](https://www.virtualbox.org/) installed. Organisers will prepare a virtualbox image (Linux guest system) beforehand to be worked with during the workshop.",SWIB
,2013,CouchDB: A Database for the web,Sven-S. Porst,,https: //gist.github.com/ssp/7644684,SWIB/SWIB2013/CouchDB - A Database for the web.md,"#couchdb,#javascript,#RDF,#content-negotiation,#swib/2013","[CouchDB](http://couchdb.apache.org/) is a document database with a http interface, versioned documents, [map/reduce](http://en.wikipedia.org/wiki/MapReduce) and replication. With this web native approach, its ability to define additional output formats in JavaScript, and built-in content-negotiation ability, it is a handy technology to use in a linked data context. In this hands-on workshop participants will learn how to get documents into and out of CouchDB, how to analyse and list them in structured ways using map/reduce, and how to use these features in web applications. Special focus will be put on CouchDB’s abilities at supporting http content-negotiation for serving the appropriate output format. Participants will use their knowledge to create their own database and configure it to implement a linked data service with HTML and RDF output for their documents right in CouchDB. Time permitting, we will go on and explore data updating/synchronisation using CouchDB’s replication feature or creating list output for their data (e.g. Beacon files). Prior experience: Participants will need to work with [http](http://en.wikipedia.org/wiki/Http) headers and request methods, JavaScript and [JSON](http://www.json.com/). These will be introduced briefly in the workshop but basic knowledge of these topics is recommended. Requirements: Participants are expected bring their own computer.",SWIB
,2013,Cross-Lingual Semantic Mapping of Authority Files,"Nadine Steinmetz,Magnus Knuth,Harald Sack",,,SWIB/SWIB2013/Cross-Lingual Semantic Mapping of Authority Files.md,"#nem,#entity/mapping,#knowledge/base,#dbpedia,#swib/2013","One essential application of the Semantic Web is Named Entity Mapping (NEM). Named Entities within texts are recognized and annotated with corresponding entities from a knowledge base. Due to ambiguity of natural language additional information about the named entities is needed as context in order to enable disambiguation between several possible entity candidates. However, to enable semantic analysis of texts in different languages, the applied knowledge base should also provide multi-lingual labels. Unfortunately, most knowledge bases extracted from existing authority files do not fulfill these requirements. DBpedia represents an entity hub within the Linked Data cloud, where semantic information is provided by Wikipedia article texts, page links and interlanguage links. Authority files and in particular knowledge bases based on these authority files would clearly benefit from properly linking their entities to DBpedia. In this talk, we introduce the research issue of cross-lingual entity mapping and propose new methods how to perform high precision mappings of existing authority files to DBpedia. Based on already existing mappings of authority files, such as e.g. persons, locations, or organizations, this contribution concentrates on the mapping of entities that are not assigned to one of these classes.",SWIB
,2013,"Decentralisation, Distribution, Disintegration - towards Linked Data as a First Class Citizen in Libraryland",Martin Malmsten,,,"SWIB/SWIB2013/Decentralisation, Distribution, Disintegration - towards Linked Data as a First Class Citizen in Libraryland.md","#linked/data,#libris,#catalogue,#lessons/learned,#sweden,#swib/2013","So, you've converted your data and published it as beautiful Linked Data (LD), now what? As early adopters of Linked Data, libraries have an opportunity to reap the benefits, namely to consume and relate to information in this big, networked graph; to change how the library works with information. This begs the question: is your tech and organisation up to the challenge? Can you deal with changes outside your control without resorting to aggregation and shuffling large batches of records every night? Does your boss even care? In (re)building the new LIBRIS catalogue backend and cataloguing interface we chose Linked Data as the primary technology, making for example MARC something that happens on the outside of the system, rather than being an integral part of it. This keynote will focus on the motivation, design and lessons learned while making Linked Data a first class citizen at the National Library of Sweden.",SWIB
