type,year,title,author,partof,resources,File,tags,abstract,alias,,,,,,,,,
,2009,Design of a linked data-based library portal,André Hagenbruch,"https://www.swib09.de/vortraege/20091125_hagenbruch.pdf,https://www.swib09.de/videos/swib_hagenbruch.wmv",SWIB/SWIB2009/Design of a linked data-based library portal.md,"#linked/data,#linked-data,#web-of-data,#web/of/data,#bochum,#project,#infrastructure,#university-alliance-metropolis-ruhr,#portal,#design,#architecture,#swib/2009","An important trend that can be clearly seen in libraries in recent years is the integration of as many (bibliographical) data sources as possible under a uniform interface. On the one hand, however, these efforts are often about solutions whose sustainability and portability is limited, on the other hand, implicitly existing relationships between bibliographic and administrative information are not taken into account -- which stocks and departments, for example, are actually hidden behind ""computer science""? In the ""Web of Data", on the other hand, a wide variety of resources from a wide variety of domains and local as well as global sources can be related to one another and linked to one another. By adhering to a few basic principles, a high degree of interoperability and reusability of the data can be achieved. With this approach," the Bochum project ""Integrated Library Portal"" wants to create an infrastructure that can be used to react as flexibly and sustainably as possible to the immediate local conditions (two-tier library system"," University Alliance Metropolis Ruhr) and medium-term requirements (integration of heterogeneous primary data). #linked/data #linked-data #web-of-data #web/of/data #bochum #project #infrastructure #university-alliance-metropolis-ruhr #portal #design #architecture #swib/2009""",SWIB,,,,,
,2009,Free Data - The Road to Linked Data,Patrick Danowski,"https://www.swib09.de/vortraege/20091125_danowski.pdf,https://www.swib09.de/videos/swib_danowski.wmv",SWIB/SWIB2009/Free Data - The Road to Linked Data.md,"#cern,#bibliographic/data,#MARCXML,#libris,#swib/2009","The CERN Library is preparing the final steps to publish the complete bibliographic data on the web under a free license. Initially, these should be made available in MARC-XML. At the same time, there are various considerations as to how this data can be presented in the framework as linked data. For this, the experience of LIBRIS should be used. This approach is to be extended to other resources at the same time. There are already a few ideas that should be presented in the lecture. #cern #bibliographic/data #MARCXML #libris #swib/2009",SWIB,,,,,,,,,,
,2009,Integration of linked data into existing library applications,"Joachim Neubert,Timo Borst",https://www.swib09.de/vortraege/20091124_borst.pdf,SWIB/SWIB2009/Integration of linked data into existing library applications.md,"#sparql,#thesaurus,#indexing,#zbw,#swib/2009,#REST,#indexing,#retrieval,#demo","Existing library applications - catalogues, portal systems or open access repositories - are not prepared to actually exploit the opportunities linked data offers. In order to be able to make better use of sources available on the Semantic Web, such as the standard economics thesaurus, the ZBW has therefore started to develop a lightweight application architecture. It is based on web services that query the data from Semantic Web (-SPARQL) endpoints and make it accessible via a simple, use-case-centric REST interface. This means that the data can be used directly on the websites by conventional web applications. A beta implementation of two key use cases - thesaurus support in indexing and in retrieval - is presented and it is demonstrated. #sparql #thesaurus #indexing #zbw #swib/2009",SWIB,,,,,,,,,,
,2009,Introduction to the Semantic Web,Jakob Voss,"https://www.swib09.de/vortraege/20091124_voss.pdf,https://www.swib09.de/videos/swib_voss_1.wmv",SWIB/SWIB2009/Introduction to the Semantic Web.md,"#introduction,#swib/2009,#semantic/web,#linked/data,#limitations","The Semantic Web as a concrete project is at least a decade old; Although it corresponds much more closely to the original vision of the web than today's World Wide Web, concrete implementation only gained momentum with Linked Data. The introduction is intended to give an insight into why and in what form the Semantic Web has become established and where its main focus and limitations lie, without going into technical details. #introduction #swib/2009",SWIB,,,,,,,,,,
,2009,Linked applications using repository software as an example,Felix Ostrowski,"https://www.swib09.de/vortraege/20091125_ostrowski.pdf,https://www.swib09.de/videos/swib_ostrowski.wmv",SWIB/SWIB2009/Linked applications using repository software as an example.md,"#linked/data,#linked-data,#dbpedia,#repository,#ontologies,#oa-network,#dfg,#swib/2009","Linked Data is a cornerstone of the Semantic Web. After a few quiet years, developments in the field of the Semantic Web (also) are picking up speed again because (open) linked data is available in large numbers thanks to projects such as DBpedia. However, data is only part of the business. Operating on this data, creating and processing it, is another cornerstone. There is a need to complement the concept of linked data with that of linked applications. This lecture presents an approach to using ontologies as a basis for linked applications using repository software as an example. Software of this type is suitable as an object of investigation simply because there are far-reaching efforts to network it (OA network, DFG call for proposals ""Establishment and networking of repositories""). #linked/data #linked-data #dbpedia #repository #ontologies #oa-network #dfg #swib/2009",SWIB,,,,,,,,,,
,2009,Linked data in the context of digital library systems,Bernhard Haslhofer,"https://www.swib09.de/vortraege/20091124_haslhofer.pdf,https://www.swib09.de/videos/swib_haslhofer.wmv",SWIB/SWIB2009/Linked data in the context of digital library systems.md,"#dbpedia,#swib/2009,#digital-library,#digital/library,#sweden,#LOD,#wikipedia,#linked/data,#developments,#trends","The ""W3C Linking Open Data Initiative (LOD)"" aims to expose databases in a structured form on the web so that they can also be reused in other application contexts. DBpedia.org was launched in July 2007 and since then has provided Wikipedia databases in several languages in a structured form. Further databases from a wide variety of domains followed within a very short time, including those from the library sector (e.g.: Library of Congress, Swedish Union Catalogue). The central properties of these databases are, firstly, that they can be accessed on the web in a technically simple manner and in a structured form, and secondly, that they contain references (links) to semantically relevant datasets in other databases (e.g.: DBpedia.org). The lecture ""Linked Data in the Context of Digital Library Systems"" first addresses the question ""What is Linked Data?"" received. This is followed by an overview of current developments and trends in the area of linked data that are relevant to libraries. A description of possible advantages and disadvantages for libraries forms the conclusion of the lecture. #dbpedia #swib/2009 #digital-library #sweden #LOD #wikipedia",SWIB,,,,,,,,,,
,2009,Metadata and the CIDOC Conceptual Reference Model (CRM) - An introduction with application examples,Katrin Teichmann,"https://www.swib09.de/vortraege/20091125_teichmann.pdf,https://www.swib09.de/videos/swib_teichmann.wmv",SWIB/SWIB2009/Metadata and the CIDOC Conceptual Reference Model (CRM) - An introduction with application examples.md,"#cidoc-crm,#conceptual-model,#conceptual/model,#cultural/heritage,#entity,#meta-ontology,#meta/ontology,#cidoc,#swib/2009","If we ask ourselves where all the metadata and ontologies for the Semantic Web come from or how we want to deal with coexisting, competing systems in the future, we can fall back on proven models in our search for solutions. The CIDOC Conceptual Reference Model is a formal ontology that has been in development since 1996 and is now the official ISO 21127:2006 standard. Although less well known in the library environment than in the museum sector, CIDOC CRM offers a formalized conceptual model to integrate disparately structured information from the field of cultural heritage, preferably in open systems, and to convey and exchange information between applications. The semantic focus is on data structures, terminology for domains and knowledge about entities (time, place, person, object), their properties and relationships with each other. In the article, the CIDOC CRM is to be introduced in relation to selected museum object and context information using the example of the astronomer Tycho Brahe and attention is drawn to the use of the model as a meta-ontology. #cidoc-crm #conceptual-model #conceptual/model #cultural/heritage #entity #meta-ontology #meta/ontology #cidoc #swib/2009",SWIB,,,,,,,,,,
,2009,Ontologies from the perspective of information specialists. From theory to practice,Elena Semanova,"https://www.swib09.de/vortraege/20091125_semenova.pdf,https://www.swib09.de/videos/swib_semenova.wmv",SWIB/SWIB2009/Ontologies from the perspective of information specialists. From theory to practice.md,"#Ontology,#conceptual-system,#conceptual/system,#swib/2009,#transporting/content,#information/science,#Protégé","Ontologies are the core components of the Semantic Web, which fulfill the actual semantic task of the whole system: transporting content. However, there is still no unanimous opinion in specialist circles as to what an ontology represents in itself, what properties it has and what potential it conceals. There are basically two perspectives on the nature of ontologies - that of librarians and information specialists, which is determined by the primary semantic interest, and that of programmers, who put the technical problems in the foreground. The ""semantic"" perspective is hardly represented in research and is rarely discussed in the professional world. A detailed discussion in the community can create a better understanding of the advantages of ontologies as a conceptual system and lead to wider use in practice. In the article, this question is discussed from the point of view of information science and explained using a practical example. In addition, practical experience with the development of ontologies using Protégé is reported. #Ontology #conceptual-system #conceptual/system #swib/2009",SWIB,,,,,,,,,,
,2009,Practical experiences from the linked data publication of the STW,Joachim Neubert,"https://www.swib09.de/vortraege/20091125_neubert.pdf,https://www.swib09.de/videos/swib_neubert_2.wmv",SWIB/SWIB2009/Practical experiences from the linked data publication of the STW.md,"#zbw,#skos,#rdfa,#rdfxml,#rdf/xml,#sparql,#swib/2009","In the spring of 2009, the ZBW published the Standard Thesaurus for Economics as Linked Data. The aim of this form (like the publication under a non-commercial Creative Commons license) was to support re-use by humans and machines. We chose the SKOS (only recently approved as a W3C standard) as the data model. The data is made available as websites with embedded RDFa, as an RDF/XML download and can be queried online (via SPARQL endpoint). What we learned - how we proceeded, what difficulties we had to overcome, what tools we used - and what could be useful for others is the subject of this article. #zbw #skos #rdfa #rdfxml #rdf/xml #sparql #swib/2009",SWIB,,,,,,,,,,
,2009,The Bibliographic Ontology as a successor to bibliographic data formats,Jakob Voss,"https://www.swib09.de/vortraege/20091125_voss.pdf,https://www.swib09.de/videos/swib_voss_2.wmv",SWIB/SWIB2009/The Bibliographic Ontology as a successor to bibliographic data formats.md,"#zotero,#RDF,#dublin-core,#friend-of-a-friend,#foaf,#ontology,#bbc,#bibo,#bibliographic,#bibliographic/data,#bibliographic/ontology,#swib/2009","The Bibliographic Ontology (bibo) arose from the consideration of how the literature management program Zotero could be brought together with the Semantic Web. After two and a half years of development in an open discussion process with over 100 participants, version 1.3 is now available. of the RDF vocabulary for bibliographic data. Bibo builds on various ontologies such as Dublin Core (DC), Friend of a Friend (FOAF), the Event Ontology and the BBC Program Ontology. After an overview, it will be discussed how the ontology will assert itself as the standard for bibliographic data in the Semantic Web and whether this will make existing bibliographic data formats superfluous. #zotero #RDF #dublin-core #friend-of-a-friend #foaf #ontology #bbc #bibo #bibliographic #bibliographic/data #bibliographic/ontology #swib/2009",SWIB,,,,,,,,,,
