type,year,title,author,partof,resources,File,tags,abstract,alias
,2015,A RESTful JSON-LD Architecture for Unraveling Hidden References to Research Data,"Konstantin Baierer,Philipp Zumstein",,,SWIB/SWIB2015/A RESTful JSON-LD Architecture for Unraveling Hidden References to Research Data.md,"#swib/2015,#RESTful,#REST,#API,#data/citation,#InFoLiS,#APIs,#data/model,#JSON,#mapping,#MongoDB","'Data citations are more common today, but more often than not the references to research data don't follow any formalism as do references to publications. The InFoLiS project makes those "hidden" references explicit using text mining techniques. They are made available for integration by software agents (e.g. for retrieval systems). In the second phase of the project we aim to build a flexible and long-term sustainable infrastructure to house the algorithms as well as APIs for embedding them into existing systems. The infrastructure's primary directive is to provide lightweight read/write access to the resources that define the InFoLiS data model (algorithms, metadata, patterns, publications, etc.). The InFoLiS data model is implemented as a JSON schema and provides full forward compatibility with RDF through JSON-LD using a JSON-to-RDF schema-ontology mapping, reusing established vocabularies whenever possible. We are neither using a triplestore nor an RDBMS, but a document database (MongoDB). This allows us to adhere to the Linked Data principles, while minimizing the complexity of mappings between different resource representations. Consequently, our web services are lightweight, making it easy to integrate InFoLiS data into information retrieval systems, publication management systems or reference management software. On the other hand, Linked Data agents expecting RDF can consume the API responses as triples; they can query the SPARQL endpoint or download a full RDF dump of the database. We will demonstrate a lightweight tool that uses the InFoLiS web services to augment the web browsing experience for data scientists and librarians.'",SWIB
,2015,"ALIADA, an Open Source Solution to Easily Publish Linked Data of Libraries and Museums",Cristina Gareta,,,"SWIB/SWIB2015/ALIADA, an Open Source Solution to Easily Publish Linked Data of Libraries and Museums.md","#swib/2015,#ALIADA,#MARCXML,#LIDOXML,#data/silo,#FRBRoo,#SKOS,#FOAF,#WGS84,#ontologies,#DataHub","'ALIADA is an open source solution designed by art libraries and museums, ILS vendors and experts on Semantic Web to help cultural heritage institutions to automatically convert, link and publish their library and museum data as Linked Open Data. If they can export their metadata as MARCXML or LIDOXML, they can choose ALIADA as their ally in the challenge of liberating cultural institutions from their current data silos and integrating library and museum data onto the Semantic Web. ALIADA uses its own ontology based on FRBRoo, SKOS, FoaF and WGS84, the ontologies most used by the linked open datasets analyzed during the design of the tool. It's expected this ontology to be updated with the new emerging models and vocabularies, such as RDA or BIBFRAME, according to the ALIADA's community demand. ALIADA can be integrated with the current management system in a library or a museum allowing non-expert staff to easily select and import metadata into ALIADA. Once the file is validated, the user can start the "RDFizer" to create the triples using the existing mapping templates. All the MARC mappings were not carried out into RDF using FRBRoo ontology because of the complexity of the format. Along with the RDF conversion, ALIADA provides a set of predefined SPARQL queries to check the URIs. The next step in the workflow is the linking to other datasets. ALIADA offers a list of external datasets that can be linked to, including Europeana, DBpedia or VIAF. Finally, ALIADA will show the dataset before publishing it on the DataHub.'",SWIB
,2015,"Bringing Your Content to the User, not the User to Your Content – a Lightweight Approach towards Integrating External Content via the EEXCESS Framework","Werner Bailer,Martin Höffernig",,,"SWIB/SWIB2015/Bringing Your Content to the User, not the User to Your Content – a Lightweight Approach towards Integrating External Content via the EEXCESS Framework.md","#swib/2015,#EEXCESS,#project,#mappings,#contolled/vocabularies","This workshop will look at the steps and tools needed to adapt scientific and cultural heritage assets to services which make them available to wide community of users on the platforms they already use, e.g., as a plugin in their web browser or on their blogging environment. The EEXCESS project has developed such a service, and welcomes GLAM institutions to make their data available. Data providers face two basic problems: Provision of their data in various formats in order to match available services; Quality issues while mapping their specific data to other formats. On this background, in the EU funded project EEXCESS a tool chain has been developed to make data provision as simple as possible for the providers.",SWIB
,2015,Call for Linked Research,Sarven Capadisli,,,SWIB/SWIB2015/Call for Linked Research.md,"#swib/2015,#scholarly-communication,#Dokieli","Linked Research is set out to socially and technically enable researchers to take full control, ownership, and responsibility of their own knowledge. This is so that research contributions are accessible to the society at maximum capacity, by dismantling the use of archaic and artificial barriers. It is intended to influence a (paradigm) shift in all aspects of scholarly communication by fostering the use of the native Web stack. Linked Research proposes an acid test to the research community in order to verify, approve, or test the openness, accessibility and flexibility of the approaches for enhanced scholarly communication. Dokieli is a decentralized authoring, annotations, and social interaction tool complying with this initiative. This talk will discuss and demonstrate what works!",SWIB
,2015,Catmandu - a (Meta)Data Toolkit,"Johann Rolschewski,Vitali Peil,Patrick Hochstenbach",,,SWIB/SWIB2015/Catmandu - a (Meta)Data Toolkit.md,"#swib/2015,#Catmandu","Catmandu http://librecat.org/Catmandu/ provides a suite of software modules to ease the import, storage, retrieval, export and transformation of (meta)data records. After a short introduction to Catmandu and its features, we will present the command line interface (CLI) and the domain specific language (DSL). Participants will be guided to get data from different sources via APIs, to transform data records to a common data model, to store/index it in Elasticsearch or MongoDB, to query data from stores and to export it to different formats. The intended audience is Systems librarians, Metadata librarians, and Data managers. Participants should be familiar with command line interfaces (CLI). Programming experience is not required. Required is a Laptop with VirtualBox installed. Organisers will provide a VirtualBox image (Linux guest system) beforehand. Participants can also install their own environment, see here. Participants could bring their own data (CSV, JSON, MAB2, MARC, PICA+, XLS, YAML).",SWIB
,2015,Data-Transformation on Historical Data Using the RDF Data Cube Vocabulary,"Sebastian Bayerl,Michael Granitzer",,,SWIB/SWIB2015/Data-Transformation on Historical Data Using the RDF Data Cube Vocabulary.md,"#swib/2015,#vocabulary,#rdf-data-cube,#RDF,#TEI,#data-cube,#transformations","This work describes how XML-based TEI documents, containing statistical data, can be normalized, converted and enriched using the RDF Data Cube Vocabulary. In particular we focus on a statistical real world data set, namely the statistics of the German Reich around the year 1880, which are available in the TEI format. The data is embedded in complex structured tables, which are relatively easy to understand for humans but they are not suitable for automated processing and data analysis, without heavy pre-processing, due to their varying structural properties and differing table layouts. Therefore, the complex structured tables must be validated, modified and transformed, until they are suitable for the standardized multi-dimensional data structure - the data cube. This work especially focuses on the transformations necessary to normalize the structure of the tables. Performing validation- and cleaning-steps, resolving row- and column-spans and reordering slices are available transformations among multiple others. By combining existing transformations, compound operators are implemented, which can handle specific and complex problems. The identification of structural similarities or properties can be used to automatically suggest sequences of transformations. A second focus is on the advantages, which come by using the RDF Data Cube Vocabulary. Also, a research prototype was implemented to execute the workflow and convert the statistical data into data cubes.",SWIB
,2015,Evaluation of Metadata Enrichment Practices in Digital Libraries: Steps towards Better Data Enrichments,"Valentine Charles,Juliane Stiller",,,SWIB/SWIB2015/Evaluation of Metadata Enrichment Practices in Digital Libraries Steps towards Better Data Enrichments.md,"#swib/2015,#Europeana,#metadata,#metadata/enrichment,#enrichment","In large cultural heritage data aggregation systems such as Europeana, automatic and manual metadata enrichments are used to overcome the issues raised by multilingual and heterogeneous data. Enrichments are based on linked open datasets, which can be very beneficial for enabling retrieval across languages, adding context to cultural heritage objects and for improving the overall quality of the metadata. However, if not done correctly, the enrichments may transform into errors, which propagate to several languages and impacting the retrieval performance and user experience. To identify the different processes that impact the quality of enrichments, Europeana and affiliated projects’ representatives have organised a series of experiments applying several enrichment techniques on a particular dataset constituted of random metadata samples from several data providers from several domains, but mainly from library held cultural heritage digital objects. Comparing and analysing the results shows that selecting appropriate target vocabularies, fine-tuning enrichment rules are as important as defining evaluation methods. The development of flexible workflows will contribute to better interoperability between enrichment services and data, but might make individual enrichment processes more ambivalent. Efforts where users evaluate and correct enrichments as well as the enrichments’ impact on retrieval and user experience also need to be considered. The presentation will show how a better understanding of enrichment methodologies will help cultural heritage institutions and specifically libraries to get the semantics right.",SWIB
,2015,HTTP-PATCH for Read-write Linked Data,Rurik Thomas Greenall,,,SWIB/SWIB2015/HTTP-PATCH for Read-write Linked Data.md,"#swib/2015,#HTTP-PATCH,#Oslo,#REST,#API","It can be argued that HTTP-PATCH is essential to read-write linked data; this being the case, there seems to be no absolute definition for how this should be implemented. In this talk, I present different alternatives for HTTP-PATCH and an implementation based on practical considerations from feature-driven development of a linked-data-based library platform at Oslo public library. Grounded in the work done at Oslo public library, I show how HTTP-PATCH can be implemented and used in everyday workflows, while considering several aspects of specifications such as LD-PATCH, RDF-PATCH, particularly in light of existing efforts such as JSON-PATCH. In the description of the implementation, I pay particular attention to the practical issues of using linked data in REST architecture, the widespread use of formats that do not support hypermedia and blank nodes. The talk views the cognitive constraints imposed by the dominance of the traditional library technology stack and how these colour development of new workflows and interfaces. Further, I provide some thoughts about how specifications like the linked-data platform can be reconciled with modern development techniques that largely shun such specifications, and how we can create read-write interfaces for linked data.",SWIB
,2015,Introduction to Linked Open Data,"Felix Ostrowski,Adrian Pohl",,,SWIB/SWIB2015/Introduction to Linked Open Data.md,"#swib/2015,#workshop,#RDF,#linked-open-data,#linked/open/data,#RDF/data/model,#dereferenceable/URIs,#Open/Data","This introductory workshop aims to introduce the fundamentals of linked data technologies on the one hand, and the basic legal issues of open data on the other. The RDF data model will be discussed, along with the concepts of dereferenceable URIs and common vocabularies. The participants will continuously create and refine RDF documents about themselves including links to other participants to strengthen their knowledge of the topic. Based on the data created the advantages of publishing linked data will be shown. On a side track, Open Data principles will be introduced, discussed and applied to the content that is being created during the workshop.",SWIB
,2015,LOD for Applications – Using the Lobid API,"Pascal Christoph,Fabian Steeg",,,SWIB/SWIB2015/LOD for Applications – Using the Lobid API.md,"#swib/2015,#hbz,#lobid,#API,#GND","It is often correctly noted that many datasets got published in the library world with little or no stories about actual use of these datasets. In this talk we want to highlight some of this usage in the context of the hbz linked open data service lobid (which stands for "linking open bibliographic data"). The hbz has been experimenting with linked data technology since 2009. In November 2013 the hbz launched a linked open data API via its service lobid. This API provides access to different kinds of data: • bibliographic data from the hbz union catalogue with 20 million records and 45 million holdings, • authority data from the German Integrated Authority File (Gemeinsame Normdatei, GND) with subject headings, persons, corporate bodies, events, places and works, • address data on libraries and related institutions, taken from the German ISIL registry and the MARC organization codes data base. The talk starts with a brief outline of the concept and the technology used behind the lobid API and how lobid itself benefits from other linked data sources. After that it is shown how applications are making use of the lobid API, focusing on the development of the North Rhine-Westphalian bibliography (NWBib) as an example. In the end we provide some lessons learned regarding the transformation of legacy data to linked data and the provision of a web API for it.",SWIB
,2015,"Linked Data for Libraries: Experiments between Cornell, Harvard and Stanford",Simeon Warner,,,"SWIB/SWIB2015/Linked Data for Libraries - Experiments between Cornell, Harvard and Stanford.md","#swib/2015,#LD4L,#linked/data,#ontology,#BIBFRAME","The Linked Data for Libraries (LD4L) project aims to create a Linked Open Data (LOD) model that works both within individual institutions and across libraries to capture and leverage the intellectual value that librarians and other domain experts add to information resources when they describe, annotate, organize, and use those resources. First we developed a set of use cases illustrating the benefits of LOD in a library context. These served as a reference for the development of an LD4L ontology which includes bibliographic, person, curation, and usage information. This largely draws from existing ontologies, including the evolving BIBFRAME ontology. We have prioritized the ability to identify entities within library metadata records, reducing reliance on lexical forms of identity. Whenever possible we seek out persistent global identifiers for the entities being represented — identifiers from established efforts such as ORCID, VIAF, and ISNI for people, and OCLC identifiers for works for example. One group of LD4L use cases explores circulation and other usage data as sources that could improve discovery, and inform collection building. We are exploring the use of a anonymized and normalized metric that may be shared and compared across institutions. Ontology work and software from the LD4L project is available from our Github repository.",SWIB
,2015,"Linking Data about the Past Through Geography: Pelagios, Recogito & Peripleo","Rainer Simon,Elton Barker,Leif Isaksen,Pau de Soto Cañamares",,,"SWIB/SWIB2015/Linking Data about the Past Through Geography Pelagios, Recogito & Peripleo.md","#swib/2015,#Pelagios,#gazetteers,#Recogito,#Peripleo,#API","Pelagios is a community-driven initiative that facilitates better linkages between online resources documenting the past, based on the places they refer to. Our member projects are connected by a shared vision of a world in which the geography of the past is every bit as interconnected, interactive and interesting as the present. Pelagios has been working towards establishing conventions, best practices and tools in several areas of "Linked Ancient World Data": i. Linking and aligning of gazetteers. Gazetteers are the primary knowledge organization mechanism in Pelagios. In order to foster integration of gazetteers from different communities, we have been developing an RDF profile for publishing gazetteer metadata as Linked Open Data. ii. Tools to aid linking. To simplify the process of linking documents to the places they refer to, we have developed an Open Source geoannotation platform called Recogito. iii. Tools to visualize and navigate. To make the growing pool of data in Pelagios more accessible to everyday, we are working on a search engine called Peripleo. Peripleo will allow the navigation of the interconnected gazetteers that form the backbone of Pelagios, as well as the objects and documents that link to them. iv. Infrastructure for re-use. Data created in Recogito is available under CC terms for bulk download. Peripleo will feature similar capabilities and, in addition, offers a comprehensive JSON API to enable re-use in 3rd party applications and mashups.",SWIB
,2015,Maximising (Re)Usability of Library Metadata Using Linked Data,Asunción Gómez Pérez,,,SWIB/SWIB2015/Maximising (Re)Usability of Library Metadata Using Linked Data.md,"#swib/2015,#datos-bne-es,#metadata,#owl,#re-use","'Linked Data (LD) and related technologies are providing the means to connect high volumes of disconnected data at Web-scale and producing a huge global knowledge graph. The key benefits of applying LD principles to datasets are i. better modelling of datasets as directed labelled graphs, ii. structural interoperability of heterogeneous resources, iii. federation of resources from different sources and at different layers including language annotation, iv. a strong ecosystem of tools based on RDF and SPARQL, v. improved conceptual interoperability due to strong semantic models such as [[OWL]] and shared semantics due to linking and vi. dynamic evolution of resources on the web. In this talk, I will explore challenges related with the (Re)Usability of library linked metadata in the field of cultural heritage and for other purposes. I will argue that for maximizing (re)use of library linked metadata it is crucial to represent core aspects related with Linguistic, Provenance, License, and Dataset metadata. A proper representation of these features using W3C standards and the use of W3C best practices and guidelines for multilingual Linked Open Data: i. produce better library linked metadata that could be used later on for diagnosing and repairing other external resources; ii. facilitate rights management, and consequently the access and reuse of metadata and data delivered under different license schema; iii. enable navigation across datasets in different languages thanks to the exploitation of links across multilingual data; iv. help data providers and data consumers to go a step further when cataloguing, searching and building cross-lingual applications that use open library linked metadata; v. increase exploitation when library linked metadata will be used with licensed (open or closed) linked data in other domains. I will also present approaches that use datos.bne.es library linked metadata with geographical information to produce new insights and innovation.'",SWIB
,2015,"Metadata Records & RDF: Validation, Record Scope, State, and the Statement-centric Model",Thomas Johnson,,,"SWIB/SWIB2015/Metadata Records & RDF Validation, Record Scope, State, and the Statement-centric Model.md","#swib/2015,#RDF,#DPLA,#validation,#model","Advocates for the use of RDF as a model for metadata in the cultural heritage sector have frequently spoken of the death of the “record”. Indeed, the shift from a document-centric approach to one based on identified resources and atomic statements is an important one. Yet current work on validation as well as requirements for day-to-day metadata management and attribution point back to aspects of a record-driven worldview. This session will address some historical views of records, contrasting them with the formal model adopted by RDF 1.1 and commonly accepted best practices for Linked Data. Practical implications of the RDF model will be explored, with questions raised regarding the management of state, mutability, and “record” workflows. A provisional approach for managing RDF resources and graphs in record-like contexts is proposed, with connections to RDF Shapes, DC Application Profiles, and Linked Data Platform. Use cases from the Digital Public Library of America will be presented as illustrative examples.",SWIB
